phase,experiment,method,seed,episode,scenario_seed,initial_observation_sha256,env_reward,training_reward,steps,termination_reason,collision,crash_vehicle,crash_object,out_of_road,goal_reached,max_steps_reached,rmst_event_definition,rmst_event_observed,event_or_censor_time_steps,wall_time_seconds,cpu_time_seconds,average_loss,average_rnd_loss,average_rnd_bonus,replay_buffer_size,learn_steps,epsilon,rnd_beta,noisy_sigma_init,network_frozen,updates_during_test,action_source_counts,source_phase,series_id,display_label,evaluation_variant,source_kind,source_name,source_csv,policy_folder
train,epsilon,Epsilon Greedy,13,0,13,39d9368d55d29a1e0a45845149fa4dad9b16d277b5601c5fed372b9becd3bb53,-47.7928931198384,-47.7928931198384,101,out_of_road,False,False,False,True,False,False,collision,False,101,0.8016063619870692,0.8017048120000005,0.0217093045005305,0.0,0.0,101,38,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 85, ""epsilon_random"": 16}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,1,14,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-49.33065419977259,-49.33065419977259,16,out_of_road,False,False,False,True,False,False,collision,False,16,0.165217844012659,0.1651731439999997,0.4375892221287358,0.0,0.0,117,54,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 10, ""epsilon_random"": 6}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,2,15,39d9368d55d29a1e0a45845149fa4dad9b16d277b5601c5fed372b9becd3bb53,-48.203698189755286,-48.203698189755286,43,out_of_road,False,False,False,True,False,False,collision,False,43,0.3989317340019624,0.3989480280000004,0.7054479706539708,0.0,0.0,160,97,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 37, ""epsilon_random"": 6}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,3,16,fc6f2c8254ef4c2585b8bd7ed5bb373f2ccb0f93ee71c75f146402950d519cb4,-47.221411967911656,-47.221411967911656,41,out_of_road,False,False,False,True,False,False,collision,False,41,0.4161488130048383,0.4151484080000003,0.9285486113825222,0.0,0.0,201,138,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 38, ""epsilon_random"": 3}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,4,17,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-49.01241909320365,-49.01241909320365,17,out_of_road,False,False,False,True,False,False,collision,False,17,0.302252232999308,0.3024872639999998,0.9149044059929164,0.0,0.0,218,155,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 10, ""epsilon_random"": 7}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,5,18,26b8e027650e3edaeb098b954dd6a5a53a2a9694123d959c6fc04ace4b67c1a7,-47.66400051108258,-47.66400051108258,36,out_of_road,False,False,False,True,False,False,collision,False,36,0.4337259919848293,0.4340196140000003,1.0358510379834722,0.0,0.0,254,191,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 32, ""epsilon_random"": 4}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,6,19,fc6f2c8254ef4c2585b8bd7ed5bb373f2ccb0f93ee71c75f146402950d519cb4,-47.5209654429348,-47.5209654429348,19,out_of_road,False,False,False,True,False,False,collision,False,19,0.27459030499449,0.2747657100000005,0.9824805012597752,0.0,0.0,273,210,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 16, ""epsilon_random"": 3}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,7,20,39d9368d55d29a1e0a45845149fa4dad9b16d277b5601c5fed372b9becd3bb53,-48.1045424061944,-48.1045424061944,43,out_of_road,False,False,False,True,False,False,collision,False,43,0.4196345710079185,0.4197766600000001,1.1562754971917373,0.0,0.0,316,253,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 36, ""epsilon_random"": 7}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,8,21,39d9368d55d29a1e0a45845149fa4dad9b16d277b5601c5fed372b9becd3bb53,-48.06137065115999,-48.06137065115999,70,out_of_road,False,False,False,True,False,False,collision,False,70,0.6625309629889671,0.6628324499999998,1.010782941287783,0.0,0.0,386,323,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 48, ""epsilon_random"": 22}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,9,22,fc6f2c8254ef4c2585b8bd7ed5bb373f2ccb0f93ee71c75f146402950d519cb4,-47.44315418310903,-47.44315418310903,21,out_of_road,False,False,False,True,False,False,collision,False,21,0.2991125949774869,0.2993198599999989,1.2946544368751347,0.0,0.0,407,344,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 19, ""epsilon_random"": 2}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,10,23,39d9368d55d29a1e0a45845149fa4dad9b16d277b5601c5fed372b9becd3bb53,-47.33593513912604,-47.33593513912604,33,out_of_road,False,False,False,True,False,False,collision,False,33,0.3088809130131267,0.3089612920000011,0.9665266926767248,0.0,0.0,440,377,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 28, ""epsilon_random"": 5}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,11,24,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-49.415017575672046,-49.415017575672046,10,out_of_road,False,False,False,True,False,False,collision,False,10,0.1961869490041863,0.1949207009999991,0.7785532420501113,0.0,0.0,450,387,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 8, ""epsilon_random"": 2}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,12,25,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-49.46166505816202,-49.46166505816202,8,out_of_road,False,False,False,True,False,False,collision,False,8,0.1912471049872692,0.1906450579999994,1.3612188324332235,0.0,0.0,458,395,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 7, ""epsilon_random"": 1}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,13,26,fc6f2c8254ef4c2585b8bd7ed5bb373f2ccb0f93ee71c75f146402950d519cb4,-45.77022702711084,-45.77022702711084,50,out_of_road,False,False,False,True,False,False,collision,False,50,0.5919856789987534,0.5877952520000012,1.2754702727263794,0.0,0.0,508,445,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 41, ""epsilon_random"": 9}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,14,27,39d9368d55d29a1e0a45845149fa4dad9b16d277b5601c5fed372b9becd3bb53,-45.44381963736117,-45.44381963736117,132,out_of_road,False,False,False,True,False,False,collision,False,132,0.904904869006714,0.9049131179999996,1.248829808474208,0.0,0.0,640,577,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 106, ""epsilon_random"": 26}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,15,28,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-48.78824883253689,-48.78824883253689,41,out_of_road,False,False,False,True,False,False,collision,False,41,0.4260293529951013,0.4224333559999991,1.2515571273880353,0.0,0.0,681,618,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 33, ""epsilon_random"": 8}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,16,29,dec415cd45b7a15b0e8cab4e318817d30c2f41c16d3942c15c253134c5957aa9,-47.69805995828265,-47.69805995828265,38,out_of_road,False,False,False,True,False,False,collision,False,38,0.3539666410069912,0.3485627470000008,1.1047447348062538,0.0,0.0,719,656,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 34, ""epsilon_random"": 4}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,17,30,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-48.95901457775346,-48.95901457775346,18,out_of_road,False,False,False,True,False,False,collision,False,18,0.3546040120127145,0.352038447,1.166076343422497,0.0,0.0,737,674,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 13, ""epsilon_random"": 5}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,18,31,39d9368d55d29a1e0a45845149fa4dad9b16d277b5601c5fed372b9becd3bb53,-47.28970810088386,-47.28970810088386,54,out_of_road,False,False,False,True,False,False,collision,False,54,0.5468958569981623,0.5393459539999998,1.238264887360856,0.0,0.0,791,728,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 45, ""epsilon_random"": 9}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,19,32,a197f2faf98365e8e492b07b666e56392177285721fd134a7016dc2d1931ce99,-49.31163216313322,-49.31163216313322,24,out_of_road,False,False,False,True,False,False,collision,False,24,0.2676974259957205,0.2642039990000011,1.2630672249846004,0.0,0.0,815,752,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 21, ""epsilon_random"": 3}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,20,33,fc6f2c8254ef4c2585b8bd7ed5bb373f2ccb0f93ee71c75f146402950d519cb4,-47.40108071013099,-47.40108071013099,57,out_of_road,False,False,False,True,False,False,collision,False,57,0.4653137910063378,0.4579335520000001,1.0775425787688346,0.0,0.0,872,809,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 46, ""epsilon_random"": 11}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,21,34,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-49.39949206827731,-49.39949206827731,11,out_of_road,False,False,False,True,False,False,collision,False,11,0.2252923639898654,0.2243313899999997,1.130845727166161,0.0,0.0,883,820,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 10, ""epsilon_random"": 1}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,22,35,fc6f2c8254ef4c2585b8bd7ed5bb373f2ccb0f93ee71c75f146402950d519cb4,-30.739401305443437,-30.739401305443437,280,out_of_road,False,False,False,True,False,False,collision,False,280,2.1432434899907093,2.142871694,1.061001212843569,0.0,0.0,1163,1100,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 227, ""epsilon_random"": 53}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,23,36,39d9368d55d29a1e0a45845149fa4dad9b16d277b5601c5fed372b9becd3bb53,-47.89007585172721,-47.89007585172721,24,out_of_road,False,False,False,True,False,False,collision,False,24,0.2440571110055316,0.2442048740000011,1.0053968433203408,0.0,0.0,1187,1124,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 19, ""epsilon_random"": 5}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,24,37,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-48.03944710131662,-48.03944710131662,48,out_of_road,False,False,False,True,False,False,collision,False,48,0.5159856610116549,0.5162891800000011,0.827089025277625,0.0,0.0,1235,1172,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 38, ""epsilon_random"": 10}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,25,38,7d68bf58fc27a3ab8e8bc67ffae1a9a0612c809013ce4008d78dcb7a11d31090,-48.43265869311931,-48.43265869311931,39,out_of_road,False,False,False,True,False,False,collision,False,39,0.3439987610036041,0.344274470000002,0.9380533020638931,0.0,0.0,1274,1211,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 33, ""epsilon_random"": 6}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,26,39,27c13e0804457e50998c182ec3ec90441bed77828ec91e69cca45d68dddad19d,-39.09796899568616,-39.09796899568616,71,out_of_road,False,False,False,True,False,False,collision,False,71,0.7047765869938303,0.7052087379999996,0.8663108270766188,0.0,0.0,1345,1282,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 60, ""epsilon_random"": 11}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,27,40,fc6f2c8254ef4c2585b8bd7ed5bb373f2ccb0f93ee71c75f146402950d519cb4,-47.52947198284791,-47.52947198284791,44,out_of_road,False,False,False,True,False,False,collision,False,44,0.3752573359815869,0.375412463,0.9734115757164544,0.0,0.0,1389,1326,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 33, ""epsilon_random"": 11}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,28,41,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-47.58342860098136,-47.58342860098136,31,out_of_road,False,False,False,True,False,False,collision,False,31,0.3371625209983904,0.3373951579999996,1.2300329171947293,0.0,0.0,1420,1357,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 27, ""epsilon_random"": 4}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,29,42,b245e635fb3b01054279dd65fba6146e5cdb7e4134c6232fb2927a6dc06960c8,-44.40602178245709,-44.40602178245709,53,out_of_road,False,False,False,True,False,False,collision,False,53,0.4110400170029606,0.4112298709999997,1.2337670839360897,0.0,0.0,1473,1410,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 40, ""epsilon_random"": 13}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,30,43,fc6f2c8254ef4c2585b8bd7ed5bb373f2ccb0f93ee71c75f146402950d519cb4,-47.48822988516776,-47.48822988516776,36,out_of_road,False,False,False,True,False,False,collision,False,36,0.3878649580001365,0.388187398000003,0.908694608761127,0.0,0.0,1509,1446,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 27, ""epsilon_random"": 9}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
train,epsilon,Epsilon Greedy,13,31,44,afb0d373edb44cc865b2e61d03d24d7b342690bc15699578c2dae1e0dd7d569e,-46.82332388202794,-46.82332388202794,33,out_of_road,False,False,False,True,False,False,collision,False,33,0.3047569490154274,0.3049397240000004,0.9911466511707244,0.0,0.0,1542,1479,0.2,0.0,0.0,False,,"{""epsilon_argmax"": 30, ""epsilon_random"": 3}",train,epsilon,Epsilon Greedy,standard,baseline,epsilon,/home/karthik/Desktop/Karthikeya/genadv/metadrive_canonical_baselines_package/metadrive_canonical_baselines/canonical_baselines_timed/seed_13/epsilon/all_episode_results.csv,
