phase,experiment,method,seed,episode,scenario_seed,initial_observation_sha256,env_reward,training_reward,steps,termination_reason,collision,crash_vehicle,crash_object,out_of_road,goal_reached,max_steps_reached,rmst_event_definition,rmst_event_observed,event_or_censor_time_steps,wall_time_seconds,cpu_time_seconds,average_loss,average_rnd_loss,average_rnd_bonus,replay_buffer_size,learn_steps,epsilon,rnd_beta,noisy_sigma_init,network_frozen,updates_during_test,action_source_counts
train,rnd,DQN + RND,7,0,7,87f6ed67b6da8c576a630513d1cebf1177df1c8aaca664654f11fe3cbfac4d8d,-48.9,-48.89976828604937,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.33350077999966743,0.33077551900009894,0.0,0.011585697531700134,0.00011585697531700134,2,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,1,8,30582c1d22d6bdfafdf7819d468ac07b292d231a6c0275a8ba388df43994cb72,-50.0,-49.96287789763152,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.1675212370009831,0.1675958600001195,0.0,0.013623841106891632,0.037122102368479924,3,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,2,9,a01d19c451b2996b49f91d66e4e7328a4f9c8e039d6a30d40328a92536b22057,-50.0,-49.95903981959661,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16291106199969363,0.16300747099990076,0.0,0.011671247892081738,0.04096018040338521,4,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,3,10,7989a820cdee78449cb9aa05db0972dcf9a7cdef66ebc2ed050c2f6feef3c21b,-50.0,-49.95,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16649692400096683,0.16646276400001625,0.0,0.011941423639655113,0.05,5,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,4,11,243a1d50e0b4319276b173144f6b4ffa1613877e7ecfc57123d1e7414d43caae,-49.85,-49.70979812920279,3,out_of_road,False,False,False,True,False,False,collision,False,3,0.46617719999994733,0.46624393000001874,0.0,0.012722688727080822,0.0467339569324046,8,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 2, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,5,12,4d625dcc58ba831aefcf750db48e3f5ea7c4a9dfb5c887a66aa9a894076762cd,-49.949999999999996,-49.88852153900866,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.32150412699957087,0.3214991930001361,0.0,0.008530926890671253,0.030739230495671878,10,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,6,13,a27b196c2af73dfeeff31930ed13d298b387623463dd2f9c5ae36a7c1d8e2ba9,-50.0,-49.933487033584825,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.31864532500003406,0.3187213480000537,0.0,0.009298746474087238,0.03325648320758912,12,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,7,14,41de23eaaa40b23eb831c215b27b99d5b7af302cdef427c0faeeb5c24d5bff11,-49.85,-49.68374959800142,4,out_of_road,False,False,False,True,False,False,collision,False,4,0.6125086739994003,0.6128209389999029,0.0,0.012032608035951853,0.04156260049964511,16,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 3, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,8,15,a58d82ecec10236432724e7f901e83b6e396c16b597d27369d71a185163059b0,-48.85444312803873,-48.35300564136555,15,out_of_road,False,False,False,True,False,False,collision,False,15,2.332306181999229,2.333651949999876,0.0,0.01600716986383001,0.033429165778212575,31,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 13, ""epsilon_random"": 2}"
train,rnd,DQN + RND,7,9,16,c418eb148d4661ca2d50ec5c651412b249eb4b78c3855657912d42ad53569aaa,-50.0,-49.988744981486235,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16589938899960543,0.1659628470001735,0.0,0.007065577898174524,0.011255018513765834,32,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,10,17,36cac250cf1c74b886e655def0a6b7e90bd0b54615dd0ea9a46bc1a086176559,-50.0,-49.97738440846772,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.3163575660000788,0.3166546070001459,0.0,0.007097545545548201,0.011307795766138851,34,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,11,18,b6d0849ff1439293e3d4bb16eac202da6ba78c851fad02caf7268be2095b52d0,-50.0,-49.98846679399452,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16763557800004492,0.16770353400011118,0.0,0.0072380127385258675,0.011533206005482332,35,0,0.2,0.01,0.0,False,,"{""epsilon_random"": 1}"
train,rnd,DQN + RND,7,12,19,e57319132e11070f7b4bba3de7fb66e34a908aefcf79305f1c21497449b0ea79,-50.0,-49.989259698552004,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16989557800116017,0.17000122199988255,0.0,0.006723870523273945,0.010740301447998996,36,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,13,20,0ba4a0b0cca2d731cec42c693710b70f76f988e28984e6d3ead19d81f4b1700d,-50.0,-49.98819293812121,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16319698199913546,0.16340613600004872,0.0,0.00738553749397397,0.011807061878789962,37,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,14,21,0b97296c7f4bd20ba30779bc31e09b7940f45b5623c4985d4e66924747aa5b47,-49.85,-49.80183346369,4,out_of_road,False,False,False,True,False,False,collision,False,4,0.6157662740006344,0.6161993399998664,0.0,0.007468681433238089,0.012041634077499823,41,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 3, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,15,22,234bea4fcdd04a76f5e92a8b1fb1f556dcd02702a7e30d892a0d6eab773d1bc2,-50.0,-49.98899891016065,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16648388399880787,0.16659007199996267,0.0,0.006728282198309898,0.01100108983934748,42,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,16,23,d5965bd5c5d113d8054c5e83b673dd0a478c33433d594c34a43c8eb1e6141014,-49.85,-49.80337165335652,3,out_of_road,False,False,False,True,False,False,collision,False,3,0.463866453999799,0.4642378819999067,0.0,0.009434238697091738,0.015542782214492323,45,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 3}"
train,rnd,DQN + RND,7,17,24,fbb4d4a11de948817667daf09cf5e033b2a17a818efb6cc7353d8dbf6fa8851a,-50.0,-49.989889960589615,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16552492099981464,0.1656966549999197,0.0,0.006040507927536964,0.010110039410382732,46,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,18,25,23f2b5a941ff6c6b32b9bfdc263775807dc36acf708aaeb24f67f88ec360b13f,-49.949999999999996,-49.93295502011209,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.31047988800128223,0.31068702700008544,0.0,0.005098343826830387,0.008522489943953614,48,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,19,26,c56ebf12053dd55adda84b3671df0f62f050983bb0c40d0b164d81e55286da97,-50.0,-49.99039400834285,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16678240900000674,0.16691643300009673,0.0,0.005753133445978165,0.009605991657151114,49,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,20,27,44898b1bab27745a9aad84c77d23a1161e8e73272714614e6cbe3b7b3dd9d064,-49.85,-49.81269024883273,3,out_of_road,False,False,False,True,False,False,collision,False,3,0.46799326200016367,0.46834367900009966,0.0,0.0074204498281081515,0.012436583722424016,52,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 2, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,21,28,64b86254dc3d67cc7630de0e516be49207cc147997835a921e13a9a1e755ee17,-50.0,-49.979949881009304,2,out_of_road,False,False,False,True,False,False,collision,False,2,0.3135777799998323,0.3137818079999306,0.0,0.0058949668891727924,0.010025059495349911,54,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1, ""epsilon_random"": 1}"
train,rnd,DQN + RND,7,22,29,5159623f55ba16b8bb6a46439836a7f946e65c43772651c205740470a27148a9,-50.0,-49.991141977383954,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.169641884000157,0.1697951500000272,0.0,0.005191517993807793,0.008858022616043354,55,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,23,30,c8bdce8e44d52aa60f00aaa338e3c8ed336a037358d51dfc7430523c3a4a2f63,-49.85,-49.813278304413146,3,out_of_road,False,False,False,True,False,False,collision,False,3,0.47033937200103537,0.47074945400004253,0.0,0.007153685049464305,0.012240565195616712,58,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 3}"
train,rnd,DQN + RND,7,24,31,4898231b07aed8af491de857d5ac04efec755b5692a8c7b70cbf06c025c52bba,-50.0,-49.992634688151234,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16788281799927063,0.1680167330000586,0.0,0.004255096428096294,0.007365311848765733,59,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,25,32,72cceaf608e8b19101fad19c9d4962d493a25bf9fcfca36e91457c2cd342bf6e,-50.0,-49.99108867428246,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.16174702900025295,0.16187913900012063,0.0,0.005155894905328751,0.008911325717539647,60,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
train,rnd,DQN + RND,7,26,33,926921c067cc72ea456c7c0dfd16903b1517bf83aefb6d58786993d7306c15fd,-50.0,-49.991568278265916,1,out_of_road,False,False,False,True,False,False,collision,False,1,0.161350604999825,0.16150642799993875,0.0,0.00487118074670434,0.008431721734083047,61,0,0.2,0.01,0.0,False,,"{""epsilon_argmax"": 1}"
